# epsilon fer_350it fer_300it fer_250it fer_200it fer_175it
4.766666666666666829e-01 6.375035150416406005e-01 7.188059467755409937e-01 8.001083785094416090e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.769696969696969324e-01 6.713305331823203881e-01 7.478662789520794663e-01 8.244020247218385444e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.772727272727272374e-01 7.038645860589582970e-01 7.754941473992648104e-01 8.471237087395713239e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.775757575757575424e-01 7.348460150072747554e-01 8.014961908113942268e-01 8.681463666155138093e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.778787878787878474e-01 7.642221583176640465e-01 8.258559094083416374e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.781818181818181523e-01 7.918591818661178117e-01 8.484911157898945566e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.784848484848484573e-01 8.176515924201548380e-01 8.693458074279598602e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.787878787878787623e-01 8.415234784293170733e-01 8.883904725714020234e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.790909090909090673e-01 8.634289864330025877e-01 9.056217274295382813e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.793939393939393723e-01 8.833520264747365403e-01 9.210613019781778155e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.796969696969696773e-01 9.013052271981367713e-01 9.347544147932509429e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.799999999999999822e-01 9.173281878868622119e-01 9.467675989225289301e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
